#energy[eV]  rel.intensity
5.050000    0.000000E+00
5.150000    0.000000E+00
5.250000    0.000000E+00
5.350000    0.000000E+00
5.450000    0.000000E+00
5.550000    0.000000E+00
5.650000    9.427260E-06
5.750000    1.411616E-05
5.850000    9.427260E-06
5.950000    0.000000E+00
6.050000    0.000000E+00
6.150000    0.000000E+00
6.250000    0.000000E+00
6.350000    0.000000E+00
6.450000    0.000000E+00
6.550000    0.000000E+00
6.650000    0.000000E+00
6.750000    0.000000E+00
6.850000    0.000000E+00
6.950000    0.000000E+00
7.050000    0.000000E+00
7.150000    0.000000E+00
7.250000    0.000000E+00
7.350000    0.000000E+00
7.450000    0.000000E+00
7.550000    0.000000E+00
7.650000    4.619345E-05
7.750000    3.674773E-04
7.850000    1.616411E-03
7.950000    3.931378E-03
8.050000    5.286997E-03
8.150000    3.931378E-03
8.250000    1.616411E-03
8.350000    3.674773E-04
8.450000    4.619365E-05
8.550000    0.000000E+00
8.650000    0.000000E+00
8.750000    0.000000E+00
8.850000    0.000000E+00
8.950000    0.000000E+00
9.050000    0.000000E+00
9.150000    0.000000E+00
9.250000    0.000000E+00
9.350000    0.000000E+00
9.450000    0.000000E+00
9.550000    0.000000E+00
9.650000    0.000000E+00
9.750000    0.000000E+00
9.850000    7.410556E-06
9.950000    1.521537E-05
10.050000    1.933866E-05
10.150000    1.521537E-05
10.250000    7.410556E-06
10.350000    0.000000E+00
10.450000    0.000000E+00
10.550000    0.000000E+00
10.650000    0.000000E+00
10.750000    0.000000E+00
10.850000    0.000000E+00
10.950000    0.000000E+00
11.050000    0.000000E+00
11.150000    0.000000E+00
11.250000    0.000000E+00
11.350000    0.000000E+00
11.450000    0.000000E+00
11.550000    1.612802E-05
11.650000    4.483016E-05
11.750000    8.278732E-05
11.850000    1.015691E-04
11.950000    8.278732E-05
12.050000    4.483016E-05
12.150000    1.612802E-05
12.250000    0.000000E+00
12.350000    0.000000E+00
12.450000    0.000000E+00
12.550000    0.000000E+00
12.650000    0.000000E+00
12.750000    0.000000E+00
12.850000    0.000000E+00
12.950000    0.000000E+00
13.050000    0.000000E+00
13.150000    0.000000E+00
13.250000    6.916884E-06
13.350000    4.772393E-05
13.450000    2.317651E-04
13.550000    7.922203E-04
13.650000    1.906033E-03
13.750000    3.227758E-03
13.850000    3.847315E-03
