 density = 5.8 #in g/cm^3
#http://physcs.nist.gov/PhysRefData/Xcom/html/xcom1-t.html
#Z=30	: 0.050000
#Z=48	: 0.450000
#Z=52	: 0.500000
# PHOTON       SCATTERING         PHOTO-    PAIR PRODUCTION    TOTAL ATTENUATION
# ENERGY    COHERENT INCOHER.    ELECTRIC    IN        IN       WITH     WITHOUT
#                               ABSORPTION NUCLEAR  ELECTRON  COHERENT  COHERENT
#                                           FIELD     FIELD    SCATT.    SCATT.
#   (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
#
 1.000E-03 7.810E+00 5.121E-03 7.595E+03 0.000E+00 0.000E+00 7.603E+03 7.595E+03
 1.003E-03 7.808E+00 5.145E-03 7.546E+03 0.000E+00 0.000E+00 7.553E+03 7.546E+03
 1.006E-03 7.805E+00 5.170E-03 7.497E+03 0.000E+00 0.000E+00 7.505E+03 7.497E+03
#52 M1 
 1.006E-03 7.805E+00 5.170E-03 7.674E+03 0.000E+00 0.000E+00 7.682E+03 7.674E+03
 1.013E-03 7.800E+00 5.225E-03 7.559E+03 0.000E+00 0.000E+00 7.567E+03 7.559E+03
 1.020E-03 7.795E+00 5.281E-03 7.446E+03 0.000E+00 0.000E+00 7.454E+03 7.446E+03
#30 L3 
 1.020E-03 7.795E+00 5.281E-03 7.548E+03 0.000E+00 0.000E+00 7.556E+03 7.548E+03
 1.031E-03 7.785E+00 5.375E-03 7.429E+03 0.000E+00 0.000E+00 7.437E+03 7.429E+03
 1.043E-03 7.776E+00 5.471E-03 7.337E+03 0.000E+00 0.000E+00 7.345E+03 7.337E+03
#30 L2 
 1.043E-03 7.776E+00 5.471E-03 7.424E+03 0.000E+00 0.000E+00 7.432E+03 7.424E+03
 1.116E-03 7.719E+00 6.080E-03 6.421E+03 0.000E+00 0.000E+00 6.428E+03 6.421E+03
 1.194E-03 7.657E+00 6.746E-03 5.556E+03 0.000E+00 0.000E+00 5.564E+03 5.556E+03
#30 L1 
 1.194E-03 7.657E+00 6.746E-03 5.607E+03 0.000E+00 0.000E+00 5.615E+03 5.607E+03
 1.500E-03 7.399E+00 9.429E-03 3.357E+03 0.000E+00 0.000E+00 3.364E+03 3.357E+03
 2.000E-03 6.943E+00 1.371E-02 1.691E+03 0.000E+00 0.000E+00 1.698E+03 1.691E+03
 3.000E-03 6.051E+00 2.175E-02 6.187E+02 0.000E+00 0.000E+00 6.248E+02 6.187E+02
 3.537E-03 5.612E+00 2.575E-02 4.064E+02 0.000E+00 0.000E+00 4.121E+02 4.064E+02
#48 L3 
 3.537E-03 5.612E+00 2.575E-02 7.640E+02 0.000E+00 0.000E+00 7.696E+02 7.640E+02
 3.631E-03 5.540E+00 2.642E-02 7.159E+02 0.000E+00 0.000E+00 7.215E+02 7.159E+02
 3.727E-03 5.466E+00 2.710E-02 6.706E+02 0.000E+00 0.000E+00 6.761E+02 6.706E+02
#48 L2 
 3.727E-03 5.466E+00 2.710E-02 8.398E+02 0.000E+00 0.000E+00 8.453E+02 8.399E+02
 4.000E-03 5.261E+00 2.899E-02 7.051E+02 0.000E+00 0.000E+00 7.104E+02 7.052E+02
 4.018E-03 5.247E+00 2.912E-02 6.973E+02 0.000E+00 0.000E+00 7.025E+02 6.973E+02
#48 L1 
 4.018E-03 5.247E+00 2.912E-02 7.737E+02 0.000E+00 0.000E+00 7.790E+02 7.737E+02
 4.177E-03 5.132E+00 3.018E-02 7.017E+02 0.000E+00 0.000E+00 7.068E+02 7.017E+02
 4.341E-03 5.017E+00 3.127E-02 6.363E+02 0.000E+00 0.000E+00 6.414E+02 6.364E+02
#52 L3 
 4.341E-03 5.017E+00 3.127E-02 8.965E+02 0.000E+00 0.000E+00 9.016E+02 8.965E+02
 4.475E-03 4.927E+00 3.214E-02 8.369E+02 0.000E+00 0.000E+00 8.418E+02 8.369E+02
 4.612E-03 4.836E+00 3.303E-02 7.812E+02 0.000E+00 0.000E+00 7.861E+02 7.813E+02
#52 L2 
