 density = 22.59 #in g/cm^3
#http://physics.nist.gov/PhysRefData/Xcom/html/xcom1.html
#Z=76 : 1.000000
# PHOTON       SCATTERING         PHOTO-    PAIR PRODUCTION    TOTAL ATTENUATION
# ENERGY    COHERENT INCOHER.    ELECTRIC    IN        IN       WITH     WITHOUT
#                               ABSORPTION NUCLEAR  ELECTRON  COHERENT  COHERENT
#                                           FIELD     FIELD    SCATT.    SCATT.
#   (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
# 
 1.000E-03 1.170E+01 4.046E-03 4.021E+03 0.000E+00 0.000E+00 4.033E+03 4.021E+03
 1.500E-03 1.121E+01 7.137E-03 1.790E+03 0.000E+00 0.000E+00 1.801E+03 1.790E+03
 1.960E-03 1.072E+01 9.866E-03 1.012E+03 0.000E+00 0.000E+00 1.023E+03 1.012E+03
#76 M5  
 1.960E-03 1.072E+01 9.866E-03 1.044E+03 0.000E+00 0.000E+00 1.055E+03 1.044E+03
 2.000E-03 1.067E+01 1.010E-02 2.207E+03 0.000E+00 0.000E+00 2.218E+03 2.207E+03
 2.031E-03 1.064E+01 1.028E-02 2.582E+03 0.000E+00 0.000E+00 2.592E+03 2.582E+03
#76 M4  
 2.031E-03 1.064E+01 1.028E-02 2.826E+03 0.000E+00 0.000E+00 2.836E+03 2.826E+03
 2.234E-03 1.042E+01 1.145E-02 2.676E+03 0.000E+00 0.000E+00 2.686E+03 2.676E+03
 2.457E-03 1.017E+01 1.272E-02 2.534E+03 0.000E+00 0.000E+00 2.544E+03 2.534E+03
#76 M3  
 2.457E-03 1.017E+01 1.272E-02 2.935E+03 0.000E+00 0.000E+00 2.946E+03 2.935E+03
 2.619E-03 9.992E+00 1.363E-02 2.513E+03 0.000E+00 0.000E+00 2.523E+03 2.513E+03
 2.792E-03 9.799E+00 1.460E-02 2.152E+03 0.000E+00 0.000E+00 2.162E+03 2.152E+03
#76 M2  
 2.792E-03 9.799E+00 1.460E-02 2.286E+03 0.000E+00 0.000E+00 2.296E+03 2.286E+03
 3.000E-03 9.571E+00 1.576E-02 1.929E+03 0.000E+00 0.000E+00 1.938E+03 1.929E+03
 3.048E-03 9.518E+00 1.603E-02 1.859E+03 0.000E+00 0.000E+00 1.869E+03 1.859E+03
#76 M1  
 3.048E-03 9.518E+00 1.603E-02 1.939E+03 0.000E+00 0.000E+00 1.949E+03 1.939E+03
 4.000E-03 8.549E+00 2.116E-02 1.014E+03 0.000E+00 0.000E+00 1.023E+03 1.014E+03
 5.000E-03 7.640E+00 2.629E-02 5.857E+02 0.000E+00 0.000E+00 5.934E+02 5.858E+02
 6.000E-03 6.845E+00 3.114E-02 3.708E+02 0.000E+00 0.000E+00 3.776E+02 3.708E+02
 8.000E-03 5.557E+00 3.983E-02 1.780E+02 0.000E+00 0.000E+00 1.836E+02 1.780E+02
 1.000E-02 4.578E+00 4.708E-02 9.986E+01 0.000E+00 0.000E+00 1.045E+02 9.991E+01
 1.087E-02 4.227E+00 4.990E-02 8.030E+01 0.000E+00 0.000E+00 8.457E+01 8.035E+01
#76 L3  
 1.087E-02 4.227E+00 4.990E-02 2.078E+02 0.000E+00 0.000E+00 2.121E+02 2.078E+02
 1.160E-02 3.962E+00 5.216E-02 1.745E+02 0.000E+00 0.000E+00 1.785E+02 1.745E+02
 1.239E-02 3.698E+00 5.436E-02 1.466E+02 0.000E+00 0.000E+00 1.503E+02 1.466E+02
#76 L2  
 1.239E-02 3.698E+00 5.436E-02 2.023E+02 0.000E+00 0.000E+00 2.061E+02 2.024E+02
 1.267E-02 3.604E+00 5.511E-02 1.914E+02 0.000E+00 0.000E+00 1.950E+02 1.914E+02
